datetimestamp,temp,sal,do_mgl,ph
2017-01-01,17.704166666666666,2.410416666666667,6.391666666666667,7.226041666666666
2017-01-02,18.240625,0.1,5.590625,6.958333333333334
2017-01-03,17.904166666666665,0.1,5.101041666666666,6.839583333333334
2017-01-04,16.628125,0.09583333333333334,5.075,6.675
2017-01-05,14.386458333333334,0.1,5.717708333333333,6.523958333333333
2017-01-06,12.778125,0.1,6.872916666666667,6.394791666666666
2017-01-07,8.430208333333333,0.1,8.469791666666667,6.14375
2017-01-08,6.775,6.68125,9.377083333333333,6.177083333333333
2017-01-09,5.977083333333334,14.286458333333334,10.3375,6.655208333333333
2017-01-10,7.59375,21.275,9.935416666666667,6.922916666666667
2017-01-11,8.558333333333334,22.128125,9.153125,7
2017-01-12,9.833333333333334,21.557291666666668,8.682291666666666,7
2017-01-13,11.539583333333333,19.490625,8.098958333333334,6.989583333333333
2017-01-14,13.113541666666666,16.845833333333335,7.407291666666667,6.93125
2017-01-15,14.021875,15.608333333333333,6.748958333333333,6.9
2017-01-16,14.929166666666667,14.271875,6.2625,6.889583333333333
2017-01-17,15.552083333333334,13.788541666666667,5.896875,6.9
2017-01-18,16.57604166666667,13.739583333333334,5.680208333333333,NA
2017-01-19,17.351041666666667,12.463541666666666,5.196875,NA
2017-01-20,17.976041666666667,12.3875,4.765625,NA
2017-01-21,18.440625,12.035416666666666,4.3375,NA
2017-01-22,18.602083333333333,11.164583333333333,3.7333333333333334,NA
2017-01-23,18.448958333333334,10.63125,3.2447916666666665,NA
2017-01-24,17.25,13.371875,6.171875,NA
2017-01-25,17.278125,14.189583333333333,5.692708333333333,NA
2017-01-26,17.5875,14.098958333333334,4.345833333333333,7.005357142857143
2017-01-27,17.809375,14.804166666666667,4.771875,7.098958333333333
2017-01-28,16.859375,15.6875,5.5,7.2375
2017-01-29,14.425,21.380208333333332,6.763541666666667,7.714583333333334
2017-01-30,14.88125,22.516666666666666,5.8,7.635416666666666
2017-01-31,15.291666666666666,22.84375,5.540625,7.541666666666667
2017-02-01,15.65625,23.4875,4.344791666666667,7.354166666666667
2017-02-02,16.114583333333332,23.654166666666665,3.16875,7.203125
2017-02-03,16.66979166666667,23.822916666666668,2.5479166666666666,7.117708333333333
2017-02-04,17.641666666666666,23.71875,2.777083333333333,7.1125
2017-02-05,17.769791666666666,22.81458333333333,2.339583333333333,7.008333333333333
2017-02-06,17.808333333333334,21.969791666666666,1.43125,6.871875
2017-02-07,18.158333333333335,21.020833333333332,1.6822916666666667,6.805208333333333
2017-02-08,18.241666666666667,19.278125,1.7666666666666666,6.789583333333333
2017-02-09,17.523958333333333,11.7625,3.4677083333333334,6.471875
2017-02-10,17.227083333333333,14.653125,3.771875,6.783333333333333
2017-02-11,17.196875,13.748958333333333,3.8677083333333333,6.765625
2017-02-12,17.682291666666668,14.814583333333333,1.9677083333333334,6.645833333333333
2017-02-13,18.045833333333334,15.270833333333334,1.9197916666666666,6.707291666666666
2017-02-14,18.342708333333334,15.36875,2.559375,6.809375
2017-02-15,18.557291666666668,14.736458333333333,1.9520833333333334,6.710416666666667
2017-02-16,18.836458333333333,14.148958333333333,1.7114583333333333,6.670833333333333
2017-02-17,18.440625,14.930208333333333,2.890625,6.822916666666667
2017-02-18,17.719791666666666,14.648958333333333,2.2572916666666667,6.765625
2017-02-19,17.846875,14.45,1.5697916666666667,6.689583333333333
2017-02-20,18.12708333333333,16.33125,3.3052083333333333,6.952083333333333
2017-02-21,18.35625,15.701041666666667,1.8979166666666667,6.79375
2017-02-22,19.136458333333334,16.83125,2.6458333333333335,6.765217391304348
2017-02-23,19.657291666666666,17.957291666666666,3.6166666666666667,NA
2017-02-24,19.616666666666667,17.176041666666666,1.8947916666666667,NA
2017-02-25,20.157291666666666,16.635416666666668,1.4052083333333334,NA
2017-02-26,20.405208333333334,17.072916666666668,2.4364583333333334,NA
2017-02-27,20.294791666666665,16.945833333333333,2.310416666666667,NA
2017-02-28,20.51875,17.06458333333333,1.4875,NA
2017-03-01,20.019791666666666,17.513541666666665,1.596875,NA
2017-03-02,20.51875,18.183333333333334,2.30625,NA
2017-03-03,19.770833333333332,19.271875,4.205208333333333,NA
2017-03-04,19.322916666666668,19.744791666666668,5.34375,NA
2017-03-05,19.651041666666668,19.163541666666667,4.244791666666667,NA
2017-03-06,20.1,18.422105263157896,4.752631578947368,7.123076923076923
2017-03-07,19.56,18.502105263157894,3.7663157894736843,7.026315789473684
2017-03-08,19.634375,18.83125,3.955208333333333,6.95
2017-03-09,20.040625,18.167708333333334,4.060416666666667,6.908333333333333
2017-03-10,19.969791666666666,17.445833333333333,3.073958333333333,6.791666666666667
2017-03-11,20.037499999999998,17.423958333333335,1.5208333333333333,6.7093750000000005
2017-03-12,20.35729166666667,17.166666666666668,1.075,6.705208333333333
2017-03-13,20.490625,16.921875,1.3666666666666667,6.720833333333333
2017-03-14,19.152083333333334,16.49375,2.5947916666666666,6.888541666666667
2017-03-15,17.803125,16.10625,4.301041666666666,7
2017-03-16,15.592708333333334,16.8375,6.39375,7.269791666666666
2017-03-17,15.514583333333334,17.411458333333332,6.284375,7.232291666666667
2017-03-18,15.971875,17.955208333333335,5.754166666666666,7.20625
2017-03-19,16.509375,19.065625,5.522916666666666,7.297916666666667
2017-03-20,17.233333333333334,19.261458333333334,4.663541666666666,7.1875
2017-03-21,18.055208333333333,18.639583333333334,3.6510416666666665,7.014583333333333
2017-03-22,19.322916666666668,19.461458333333333,3.792708333333333,7.094791666666667
