datetimestamp,temp,sal,do_mgl,ph
2017-01-01,17.451041666666665,10.382291666666667,7.723958333333333,7.076041666666667
2017-01-02,18.930208333333333,1.9104166666666667,6.413541666666666,6.248958333333333
2017-01-03,18.678125,0.5177083333333333,5.880208333333333,5.861458333333333
2017-01-04,17.621875,0.5885416666666666,5.317708333333333,5.755208333333333
2017-01-05,15.994791666666668,0.440625,5.422916666666667,5.628125
2017-01-06,14.009375,0.515625,6.577083333333333,5.836458333333333
2017-01-07,9.234375,0.38645833333333335,8.677083333333334,5.863541666666666
2017-01-08,7.844791666666667,0.45,8.695833333333333,5.733333333333333
2017-01-09,8.03125,5.980208333333334,8.960416666666667,6.271875
2017-01-10,9.986458333333333,8.11875,8.936458333333333,6.710416666666666
2017-01-11,12.802083333333334,9.172916666666667,8.403125,6.823958333333334
2017-01-12,14.348958333333334,10.071875,7.895833333333333,6.91875
2017-01-13,16.003125,11.157291666666666,7.497916666666667,6.978125
2017-01-14,17.2,8.995833333333334,7.264583333333333,6.830208333333333
2017-01-15,18.00625,11.239583333333334,7.257291666666667,7.030208333333333
2017-01-16,19.141666666666666,11.70625,7.217708333333333,7.072916666666667
2017-01-17,20.48125,11.653125,7.308333333333334,7.157291666666667
2017-01-18,21.282291666666666,11.330208333333333,6.623958333333333,7.028125
2017-01-19,21.734375,12.663541666666667,6.853125,7.264583333333333
2017-01-20,21.022916666666667,10.930208333333333,5.796875,6.977083333333334
2017-01-21,20.889583333333334,11.75,6.234375,7.217708333333333
2017-01-22,20.338541666666668,11.903125,6.159375,7.10625
2017-01-23,17.801041666666666,7.327083333333333,7.136458333333334,6.909375
2017-01-24,17.229166666666668,9.401041666666666,7.789583333333334,7.090625
2017-01-25,17.934375,11.855208333333334,8.285416666666666,7.330208333333333
2017-01-26,17.854166666666668,12.103125,7.519791666666666,7.1375
2017-01-27,15.545833333333333,12.132291666666667,7.74375,7.123958333333333
2017-01-28,14.080208333333333,14.41875,7.558333333333334,7.225
2017-01-29,13.383333333333333,14.102083333333333,8.391666666666667,7.302083333333333
2017-01-30,14.861458333333333,18.319791666666667,8.169791666666667,7.461458333333333
2017-01-31,16.130208333333332,17.192708333333332,8.353125,7.433333333333334
2017-02-01,17.797916666666666,18.630208333333332,7.921875,7.451041666666667
2017-02-02,19.554166666666667,18.854166666666668,7.626041666666667,7.422916666666667
2017-02-03,19.623958333333334,17.301041666666666,6.983333333333333,7.259375
2017-02-04,16.254166666666666,16.959375,7.169791666666667,7.310416666666667
2017-02-05,16.614583333333332,17.73125,7.330208333333333,7.361458333333333
2017-02-06,17.870833333333334,18.366666666666667,7.36875,7.403125
2017-02-07,18.411458333333332,16.697916666666668,6.869791666666667,7.226041666666666
2017-02-08,18.660416666666666,8.752083333333333,6.68125,6.844791666666667
2017-02-09,18.146428571428572,7.825,7.314285714285714,6.841666666666667
2017-02-10,17.067708333333332,9.19375,7.992708333333334,7.03125
2017-02-11,18.25625,8.777083333333334,7.825,6.957291666666666
2017-02-12,19.933333333333334,7.827083333333333,7.382291666666666,6.828125
2017-02-13,20.766666666666666,9.076041666666667,7.661458333333333,7.021875
2017-02-14,21.052083333333332,13.478125,7.280208333333333,7.328125
2017-02-15,19.207291666666666,11.635416666666666,6.914583333333334,7.090625
2017-02-16,17.784375,11.734375,7.255208333333333,7.115625
2017-02-17,17.736458333333335,14.086458333333333,7.080208333333333,7.269791666666666
2017-02-18,17.933333333333334,15.86875,7.319791666666666,7.43125
2017-02-19,19.663541666666667,15.846875,7.207291666666666,7.35625
2017-02-20,20.677083333333332,17.092708333333334,7.048958333333333,7.405208333333333
2017-02-21,20.409375,16.220833333333335,6.361458333333333,7.21875
2017-02-22,19.6,16.263541666666665,6.14375,7.125
2017-02-23,20.034375,16.427083333333332,6.670833333333333,7.144791666666666
2017-02-24,20.93541666666667,16.776041666666668,6.427083333333333,7.101041666666666
2017-02-25,20.760416666666668,14.68125,6.6375,6.994791666666667
2017-02-26,19.591666666666665,18.038541666666667,7.3125,7.35625
2017-02-27,19.552083333333332,17.68125,7.284375,7.3
2017-02-28,20.921875,17.552083333333332,6.682291666666667,7.211458333333333
2017-03-01,22.522916666666667,15.880208333333334,6.891666666666667,7.197916666666667
2017-03-02,20.170833333333334,13.610416666666667,7.21875,7.194791666666666
2017-03-03,18.503125,15.971875,7.39375,7.369791666666667
2017-03-04,17.807291666666668,18.454166666666666,7.584375,7.54375
2017-03-05,17.309375,20.164583333333333,7.626041666666667,7.626041666666667
2017-03-06,18.480208333333334,21.201041666666665,7.490625,7.5875
2017-03-07,19.983333333333334,21.416666666666668,6.323958333333334,7.178125
2017-03-08,20.460416666666667,12.516666666666667,6.271875,6.805208333333334
2017-03-09,21.098958333333332,9.575,5.986458333333333,6.68125
2017-03-10,21.547916666666666,9.282291666666666,5.20625,6.654166666666667
2017-03-11,21.154166666666665,12.051041666666666,5.632291666666666,6.91875
2017-03-12,19.344791666666666,12.436458333333333,6.904166666666667,7.146875
2017-03-13,17.823958333333334,17.023958333333333,6.928125,7.4125
2017-03-14,16.741666666666667,14.526041666666666,7.165625,7.216666666666667
2017-03-15,15.994791666666666,13.90625,8.203125,7.31875
2017-03-16,16.513541666666665,16.680208333333333,8.736458333333333,7.584375
2017-03-17,17.6375,17.501041666666666,8.379166666666666,7.595833333333333
2017-03-18,19.941666666666666,16.353125,7.803125,7.4624999999999995
2017-03-19,21.503125,17.11875,7.501041666666667,7.483333333333333
2017-03-20,22.713541666666668,17.932291666666668,7.063541666666667,7.469791666666667
